passenger_bucket,passenger_count,payment_type,pickup_hour,total_trips,total_fare,total_tip,avg_tip_percent,tip_range
3-6,6,2,7,2885,44137,0,0,0-5%
3-6,6,2,23,2784,41472.7,0,0,0-5%
3-6,5,2,1,2510,35471.5,0,0,0-5%
3-6,4,2,7,2463,60668.01,0,0,0-5%
3-6,6,1,5,2381,56720.5,12371.82,21.8119022,20%+
3-6,5,1,4,2367,42339,9834.3,23.2275207,20%+
3-6,5,1,5,2201,48375.55,11294.44,23.3474141,20%+
3-6,3,2,3,2158,34866.18,0,0,0-5%
3-6,6,2,0,2138,31396.61,0,0,0-5%
3-6,4,2,1,2130,33328.48,0,0,0-5%
3-6,6,2,6,2048,33442.69,0,0,0-5%
3-6,6,1,4,1951,34825,8075.01,23.1873941,20%+
3-6,4,1,4,1863,39523.5,8350.07,21.1268486,20%+
3-6,5,2,2,1694,23594.5,0,0,0-5%
3-6,5,2,6,1662,27930.5,0,0,0-5%
3-6,3,2,4,1580,30742.29,0,0,0-5%
3-6,3,2,5,1557,37625.06,0,0,0-5%
3-6,6,2,1,1466,20438.6,0,0,0-5%
3-6,4,1,5,1451,44321.75,9232.15,20.8298409,20%+
3-6,4,2,2,1380,21288.66,0,0,0-5%
3-6,4,2,6,1360,32020.51,0,0,0-5%
3-6,5,2,3,1128,17262,0,0,0-5%
3-6,6,2,5,1024,18638.5,0,0,0-5%
3-6,6,2,2,916,12219.4,0,0,0-5%
3-6,4,2,3,904,14741.2,0,0,0-5%
3-6,5,2,4,885,14786.5,0,0,0-5%
3-6,5,2,5,795,15367.4,0,0,0-5%
3-6,6,2,3,783,11571.5,0,0,0-5%
3-6,6,2,4,746,11700.4,0,0,0-5%
3-6,4,2,4,673,14148.09,0,0,0-5%
3-6,4,2,5,666,17057.5,0,0,0-5%
3-6,3,3,16,291,5095.07,0,0,0-5%
3-6,3,3,18,280,3998,0,0,0-5%
3-6,3,3,15,273,4587.52,1.96,0.0427246,0-5%
3-6,3,3,17,272,4290.02,0,0,0-5%
3-6,3,3,14,270,5484.51,0,0,0-5%
3-6,3,3,19,267,3788.56,0,0,0-5%
3-6,3,3,13,252,4461.54,0,0,0-5%
3-6,3,3,20,247,3817.01,0,0,0-5%
3-6,3,3,12,213,3354.08,5.44,0.1621905,0-5%
3-6,3,3,11,192,3210.21,0,0,0-5%
3-6,3,3,21,191,2453.5,0,0,0-5%
3-6,3,4,16,187,3330.01,0,0,0-5%
3-6,3,4,18,186,3469.42,0,0,0-5%
3-6,3,4,21,178,2274,0,0,0-5%
3-6,3,3,22,174,2727.51,0,0,0-5%
3-6,3,4,19,163,2880.07,0,0,0-5%
3-6,3,4,17,160,2860.51,0,0,0-5%
3-6,3,4,15,160,3690.51,1.86,0.0503995,0-5%
3-6,3,3,23,155,2417.5,0,0,0-5%
3-6,3,4,22,150,1869,0,0,0-5%
3-6,3,4,20,147,2114,0,0,0-5%
3-6,3,4,14,147,3151.01,0,0,0-5%
3-6,3,3,10,144,2457,0,0,0-5%
3-6,4,3,18,136,2766.1,0,0,0-5%
3-6,4,3,20,124,1879.5,0,0,0-5%
3-6,4,3,16,122,2308.01,0,0,0-5%
3-6,4,3,19,121,1879.51,0,0,0-5%
3-6,4,3,17,121,2305.74,0,0,0-5%
3-6,4,3,14,121,2249.5,0,0,0-5%
3-6,4,3,12,120,2052.02,0,0,0-5%
3-6,4,3,13,120,2269.5,0,0,0-5%
3-6,3,4,13,120,2608.5,0,0,0-5%
3-6,3,3,0,118,2077.01,0,0,0-5%
3-6,3,4,12,116,2691.51,0,0,0-5%
3-6,3,3,9,113,397672.94,0,0,0-5%
3-6,3,4,11,110,1850.5,0,0,0-5%
3-6,3,4,23,105,1462.5,0,0,0-5%
3-6,4,4,16,102,2343.71,0,0,0-5%
3-6,4,4,19,99,1755,0,0,0-5%
3-6,3,4,0,98,1713,0,0,0-5%
3-6,4,4,17,97,2167,0,0,0-5%
3-6,4,4,18,96,1697.51,0,0,0-5%
3-6,3,3,8,95,1672.5,0,0,0-5%
3-6,4,3,10,94,1667.16,0,0,0-5%
3-6,4,3,21,93,1522,0,0,0-5%
3-6,4,3,15,93,2146.5,0,0,0-5%
3-6,4,4,14,88,1864.5,0,0,0-5%
3-6,4,3,11,84,1418.5,0,0,0-5%
3-6,4,4,15,82,1846,0,0,0-5%
3-6,4,4,21,80,1186,0,0,0-5%
3-6,3,3,1,79,1159,0,0,0-5%
3-6,4,3,22,79,1307.5,0,0,0-5%
3-6,4,4,20,77,1045.5,0,0,0-5%
3-6,3,4,10,76,1197.5,0,0,0-5%
3-6,4,3,23,75,917.02,0,0,0-5%
3-6,4,4,13,74,1996.73,0,0,0-5%
3-6,3,4,9,73,1467.5,0,0,0-5%
3-6,3,3,7,66,1735.5,0,0,0-5%
3-6,3,4,1,66,1017.5,0,0,0-5%
3-6,4,4,22,63,1153.5,0,0,0-5%
3-6,4,3,9,61,1316.5,0,0,0-5%
3-6,4,4,12,59,1115.3,0,0,0-5%
3-6,3,4,2,58,723.5,0,0,0-5%
3-6,4,4,23,55,918.5,0,0,0-5%
3-6,3,3,2,55,806.5,0,0,0-5%
3-6,4,4,11,53,1023.6,0,0,0-5%
3-6,4,4,10,47,832.5,0,0,0-5%
3-6,3,3,3,46,732.5,0,0,0-5%
3-6,3,3,4,41,894,0,0,0-5%
3-6,4,4,9,40,866.17,0,0,0-5%
3-6,3,4,8,39,808.5,0,0,0-5%
3-6,4,4,0,38,656.5,0,0,0-5%
3-6,4,3,0,36,377.01,0,0,0-5%
3-6,4,3,8,35,674,0,0,0-5%
3-6,3,4,3,34,636,0,0,0-5%
3-6,4,3,1,29,378.5,0,0,0-5%
3-6,4,4,8,29,545.5,0,0,0-5%
3-6,3,4,4,27,588.51,0,0,0-5%
3-6,6,3,15,26,240.5,0,0,0-5%
3-6,4,4,1,26,347.5,0,0,0-5%
3-6,3,3,6,24,589,0,0,0-5%
3-6,4,4,2,23,350,0,0,0-5%
3-6,4,3,7,23,761.73,0,0,0-5%
3-6,4,3,2,23,276.5,0,0,0-5%
